,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Xs_m,Ys_m
67,41.443,353.42,96.17,278.88172007650826,450.2083697578267,278.21711687459714,397.5279583065875,-91.39,165.68,-49.65647632356092,154.37713077441828
68,41.95,354.11,96.33,278.7648740168553,451.634190468348,278.7312143043188,427.84187892547345,-92.25,165.15,-79.12394847663205,162.86567926147757
69,42.46,354.8,96.48,278.65107415780005,453.0747718644242,278.83167150096983,458.426016147989,-93.12,164.63,-109.27782577039693,168.58574276714197
70,42.968,355.49,96.64,278.5367494968382,454.5156447252394,278.58571078748497,477.38931483290213,-93.99,164.11,-128.10280547973485,169.65317668175496
71,43.471,356.18,96.77,278.42563391912444,455.9612458312658,278.43990659247726,454.9503398094052,-94.86,163.57999999999998,-104.85782011856338,165.1782915154304
72,43.98,356.87,96.96,278.3092047816716,457.39142766344014,279.10500128620293,454.54680365600694,-95.72,163.06,-102.93448282598808,170.64991178638758
73,44.486,357.56,97.12,278.1970319006099,458.83766072544654,278.0442851012426,453.66136906663735,-96.59,162.54,-102.63165307708306,162.1584757619795
74,44.996,358.25,97.28,278.0843319313687,460.2842350113677,278.0368422972357,474.54665946779886,-97.46,162.01,-123.13641282211381,165.25013160736108
75,45.5,358.94,97.44,277.97356744641587,461.73396604538414,277.93129256321976,456.1206145659594,-98.33,161.49,-103.87435581412359,161.91845534198654
76,46.007,359.63,97.6,277.87880208173794,463.0208023404564,277.84205815788073,464.0816923114053,-99.02,161.07,-111.36386791059306,162.47039205012402
77,46.516,360.32,97.76,277.76916603017554,464.4836191944771,277.9317673520749,461.18965216760415,-99.9,160.55,-107.63724318244374,162.95890612666375
78,46.925,361.01,97.93,277.65794524591774,465.935549727642,277.5584177575545,468.9782349204763,-100.77,160.02,-115.2720341410515,161.127811287919
79,47.429,361.56,98.06,277.55574867664114,467.2570102202855,277.24550257696944,464.51446514397657,-101.64,159.5,-110.52357256656262,158.07896040772883
80,47.937,362.25,98.22,277.4482724428999,468.7148762307422,277.40452446680524,470.0320014711445,-102.51,158.98,-115.27061704555257,160.27744451832257
81,48.444,362.94,98.39,277.3392015082309,470.16190796362906,277.3087462050668,474.50721684813163,-103.37,158.45,-119.23118436613413,160.23236606056685
82,48.951,363.63,98.55,277.23305777922906,471.62307121259454,277.266228669621,466.71604481773505,-104.24,157.93,-110.66918113673017,159.02499825235176
83,49.458,364.32,98.72,277.12621808198946,473.09452512156594,277.2493944901815,456.6556889403949,-105.12,157.41,-99.77273125368856,157.7550684920671
84,49.965,365.0,98.89,277.0191380872428,474.5465416584553,276.9458706664094,492.6938463299161,-105.99,156.88,-136.04819265651344,159.93054373774336
85,50.476,365.69,99.05,276.9149567024335,476.0125403810282,276.94181189077085,469.6310467917963,-106.86,156.36,-111.90844999369295,157.19942814044444
86,50.983,366.38,99.22,276.81022389701195,477.4789173356244,276.74717108347534,482.61159370999474,-107.73,155.84,-124.61938335134414,157.30902462033336
87,51.488,367.07,99.39,276.7049446486492,478.9457122681024,276.6871537830018,462.26067755455915,-108.6,155.31,-103.28279259721756,154.5368445482006
88,51.995,367.76,99.56,276.6014933537341,480.41526391237824,277.0494141418213,510.9532706586949,-109.47,154.79,-151.74198476383322,163.80166504059645
89,52.502,368.45,99.72,276.49985470669355,481.887504091982,276.4279773001056,492.86013923361867,-110.34,154.27,-133.29875087114226,156.24823792380266
90,53.01,369.14,99.89,276.39647956237013,483.3590228805085,276.3469463646937,464.8539808447743,-111.21,153.74,-104.1724376342695,152.53675942755297
91,53.517,369.83,100.06,276.3088606081527,484.6752058853434,276.27869016001506,533.5956641297803,-111.91,153.32,-173.5465476037494,159.84477816872973
92,54.024,370.52,100.23,276.20782888741826,486.1506915556122,275.9288454424578,485.86075259777766,-112.78,152.8,-124.56980941262327,151.6444817297688
93,54.533,371.21,100.4,276.10740889121803,487.6276796901505,276.5605409064432,459.4530475339915,-113.65,152.28,-96.40599596164594,154.17868838538737
94,54.941,371.9,100.57,276.0064306844009,489.1051101757167,276.0137605636997,491.5651636844646,-114.52,151.75,-128.9249338657632,153.3304351817518
95,55.448,372.59,100.74,275.90722270360766,490.58507977719825,275.8992391354697,496.0020992471759,-115.39,151.23,-132.8608480318644,152.96648019098097
96,55.956,373.27,100.91,275.8088474820898,492.0466140519615,275.90241543263187,473.86738183838276,-116.25,150.71,-109.62170151849966,150.83257790527986
97,56.463,373.83,101.04,275.71694822983386,493.40411935856395,275.6112223965238,506.3140183091357,-117.12,150.19,-142.39067950685597,151.75796520547627
98,56.97,374.52,101.21,275.6183172385732,494.88736354851494,275.820933357739,493.7361000579958,-117.99,149.66,-128.69226356383217,152.51019320644497
99,57.476,375.2,101.38,275.52142492531647,496.3730275709993,275.5707580424733,506.70771500591036,-118.87,149.14,-141.45779724195273,151.77253233856715
100,57.983,375.9,101.56,275.4239654717246,497.8591572925018,275.39607251307524,498.3649781355883,-119.73,148.62,-132.39998338802798,149.57334117540387
101,58.489,376.59,101.73,275.3269798803108,499.35667573388866,275.25878749972526,495.87761938609947,-120.61,148.09,-129.28605610241652,148.29172234225302
102,58.996,377.28,101.9,275.2318180279461,500.8465698195406,274.9794845883116,481.1863562692333,-121.48,147.57,-113.82299037518584,144.68875879533093
103,59.503,377.97,102.07,275.1360849182246,502.33694200207896,275.20408553101583,506.892615443267,-122.35,147.04,-139.18835439918269,149.1722793495848
104,60.011,378.65,102.24,275.0421512032595,503.8196257590607,274.9931452890962,495.4542596450376,-123.22,146.52,-127.00441820420377,146.41807173022758
105,60.518,379.34,102.41,274.9486711748647,505.31361845887346,274.8912455632846,491.8274852768898,-124.09,146.0,-122.69017870943549,145.371898769427
106,61.026,380.03,102.58,274.85574252229867,506.8089483227382,274.9253096535964,486.291742988839,-124.96,145.48,-116.32425806404729,145.35344834068923
107,61.532,380.72,102.75,274.7622375659508,508.3047732414088,274.5658875796055,492.8716425696021,-125.83,144.95,-122.61236373533251,142.94556388861776
108,62.04,381.41,102.92,274.68428341302376,509.64229416326907,274.58691524875866,509.59271750945885,-126.53,144.54,-138.98303985487888,144.67021950467444
109,62.546,382.1,103.09,274.5917991780007,511.14058379275656,274.57139866677954,515.5729840978538,-127.4,144.01,-144.41147236548272,145.18758849975725
110,62.954,382.79,103.26,274.5009700020771,512.640982072249,274.5369490525449,507.46210344464663,-128.26999999999998,143.49,-135.4633295152335,144.3837213803782
111,63.561,383.48,103.43,274.4106711778597,514.1426611359925,274.4009994805637,514.5433659728722,-129.14,142.97,-142.10263502325222,143.8806024034898
112,63.967,384.17,103.61,274.31987422536315,515.6348848749473,274.2864907719238,522.4546908218181,-130.0,142.45,-149.57471323189856,143.6159107386557
113,64.474,384.86,103.78,274.23062471184085,517.1391064307552,274.7044684710935,508.5365358794471,-130.87,141.93,-134.36789952745994,146.50907229644216
114,64.983,385.41,103.91,274.1463168599158,518.5071094980282,274.1896251311142,497.199787717438,-131.74,141.4,-122.59770210224946,141.12327103032825
115,65.491,386.1,104.09,274.0568859578831,520.0230211250268,274.11674498458564,570.5766530607478,-132.62,140.88,-196.93345140387487,146.05363106379318
116,65.998,386.78,104.26,273.969299244941,521.5109563566234,273.93941106851724,520.5255322219015,-133.48000000000002,140.36,-145.2255563302906,140.89615989303215
117,66.505,387.47,104.43,273.88096979619104,523.0193805204545,273.9476710682434,524.9729675761397,-134.35,139.82999999999998,-149.0757461237812,141.45653490077615
118,67.012,388.16,104.6,273.7942385199045,524.5297022095126,273.6457314424041,514.1794294216031,-135.22,139.31,-137.53808377183083,138.09539553095334
119,67.518,388.85,104.77,273.7080054709239,526.0412189173013,274.7271109678421,527.0638969393782,-136.09,138.79,-149.27723271630384,149.26847181938894
120,68.026,389.54,104.94,273.62226675576994,527.5539203721265,273.5386829517102,525.6663090609608,-136.95999999999998,138.27,-147.96533372202128,138.17950115987787
121,68.534,390.23,105.11,273.53593762100263,529.067179571744,273.1714745358523,521.4042641927679,-137.82999999999998,137.74,-143.11765294359168,134.6624063392464
122,69.041,390.92,105.28,273.4511790244294,530.58223490803,273.474665707708,529.2279854462614,-138.7,137.22,-150.26427869778735,138.14006605508513
123,69.546,391.6,105.46,273.3658915710367,532.0878747913732,273.597065854701,515.0964420699872,-139.57,136.7,-135.0639502610603,138.56780979315508
124,70.055,392.29,105.63,273.2821576236014,533.5952594429602,273.2835723012591,558.6218486769897,-140.43,136.18,-179.06471154503419,138.40974611164847
125,70.561,392.98,105.8,273.1988358613685,535.1137617366983,273.2338014399665,535.3525378394654,-141.3,135.66,-154.60209711432583,136.73865672552228
126,71.069,393.67,105.97,273.12763712491034,536.4690874598462,273.1752685793262,543.082980602201,-142.0,135.24,-161.85090680076388,136.78790910583263
127,71.574,394.36,106.14,273.04519705366323,537.9896739715364,273.1169598491604,519.7939874025838,-142.87,134.72,-137.36828128108823,135.09523286321598
128,72.081,395.05,106.31,272.96216128364506,539.5108511420322,273.08151371785135,630.3183644835309,-143.74,134.19,-249.76185933832193,141.0231091380694
129,72.588,395.74,106.49,272.8795926161895,541.0331550838636,272.53210642697525,538.5996082296243,-144.61,133.67000000000002,-155.50322081849902,130.86729146810774
130,72.994,396.43,106.66,272.7985422348472,542.5570644641908,273.0124788968872,541.2067293613802,-145.48000000000002,133.15,-157.2567080627552,135.79841515243868
131,73.501,397.12,106.83,272.7179460396671,544.082053462527,272.84942908177123,515.7123796389214,-146.35,132.63,-130.5613485926292,133.09426262090076
132,74.007,397.67,106.97,272.64167357140985,545.4596538700181,272.61472657566713,581.7053333199486,-147.20999999999998,132.11,-197.65226757088107,134.15675733206095
133,74.514,398.36,107.14,272.5608964262947,546.9862769759403,272.57914872100645,548.6071785745164,-148.07999999999998,131.57999999999998,-163.10514268998156,132.43123463033731
134,75.021,399.05,107.31,272.4816126623721,548.5144141223637,272.43973033523037,543.7230407893993,-148.95,131.06,-157.47587911612362,131.0219435494506
135,75.528,399.74,107.48,272.40272591366016,550.0535869349458,272.37468106257904,537.041326648702,-149.82999999999998,130.54000000000002,-149.97306885617422,130.27646415706414
136,76.238,400.42,107.65,272.32332590610116,551.5734076258572,272.27223297982664,528.1945422477005,-150.7,130.01,-140.2767660156248,129.10417216852306
