,Time,X,Y,BAO,RAO,X_n,Y_n,BAO_n,RAO_n,X_o,Y_o
8388,4214.497,349.25,-62.22,1.5695844160308785,115.52008483376387,350.0610636940828,-63.495715675255866,1.5473189771783609,116.33114852784666,233.73,-62.36
8389,4215.002,349.71,-63.24,1.5700181841195135,115.66003501642213,349.51292298065215,-62.2041409722023,1.5880973347410907,115.4629579970743,234.05,-63.33
8390,4215.508,349.71,-63.24,1.5616938473796924,115.35477883468891,350.3380272415154,-62.32019350718742,1.5777474991604936,115.98280607620435,234.36,-64.29
8391,4216.016,349.88,-63.79,1.5580377100445564,115.2193777105223,350.58798261935823,-63.22945958447361,1.567820985885989,115.92736032988051,234.67,-65.26
8392,4216.423,350.01,-64.35,1.554539716951325,115.03520026496236,349.6999712531845,-64.61437065269264,1.5499255786161918,114.7251715181469,234.99,-66.22
8393,4217.029,350.1,-64.94,1.5511995326583958,114.82204709897835,350.4535821790817,-64.17599598386585,1.5645339182383966,115.17562927806001,235.3,-67.19
8394,4217.231,350.1,-64.94,1.5427638396513914,114.52499508840856,350.8665139332692,-65.67442395455218,1.5299457235389387,115.29150902167771,235.62,-68.15
8395,4218.044,350.18,-66.15,1.544806556498121,114.28859698150119,349.7156485334651,-63.80363103595801,1.5857584203872621,113.82424551496632,235.93,-69.12
8396,4218.552,350.17,-66.76,1.5415761722377177,113.97865501926228,350.8754110527143,-67.02566778899339,1.5369393946032897,114.68406607197657,236.24,-70.09
8397,4218.754,350.17,-66.76,1.5330534983348636,113.6909679789912,348.9987572564545,-66.59137950938108,1.535996481082492,112.51972523544569,236.56,-71.05
8398,4219.261,350.07,-67.89,1.5344166248807016,113.2749504524279,350.52454515490206,-68.1659861202133,1.5295997583931746,113.72949560732994,236.87,-72.01
8399,4219.972,349.97,-68.52,1.531274404540468,112.87814536038411,348.8928884242162,-67.07268023657171,1.556534899741477,111.80103378460026,237.18,-72.98
8400,4220.276,349.85,-69.15,1.52990115383535,112.51407200879365,349.6089811306564,-68.76174074204806,1.5366775562379615,112.27305313945004,237.43,-73.75
8401,4220.991,349.7,-69.78,1.526698091981657,112.05894029482876,350.10793590541306,-70.24415838348914,1.518596999939037,112.46687620024181,237.75,-74.72
8402,4221.496,349.53,-70.41,1.5233709421380595,111.58546365902683,350.2830774555974,-71.0404609334223,1.5123673230446437,112.33854111462422,238.07,-75.7
